signalGroup,category,forwardHorizon,sampleSize,winRate,avgReturn,medianReturn,maxReturn,minReturn,avgWinner,avgLoser,profitFactor,positiveReturnCount,negativeReturnCount,missingPriceRows,readyStatus,matchedSignalRows,totalSignalRows
flow1D percentile >= 90,Strong inflow percentile,20D,38,0.7105263157894737,0.18564769555521954,0.10466528345947346,1.4623252263916537,-0.11823441894872244,0.27582442957137826,-0.03569519702989729,18.966798230304303,27,11,44,Watch,82,753
flow1D percentile <= 10,Large outflow risk,1D,73,0.4657534246575342,0.008954018236372093,-0.001240757398686787,0.34219901709166867,-0.11208365264174669,0.04547865485188046,-0.02288797265919931,1.7322660537198216,34,39,0,Watch,73,753
flow1D percentile <= 10,Large outflow risk,3D,69,0.5362318840579711,0.02782581188346677,0.0035224606643555756,0.49605490989100787,-0.08146810211997035,0.08175152927402655,-0.03452579884936799,2.7378137182428595,37,32,4,Watch,73,753
flow1D percentile <= 10,Large outflow risk,5D,65,0.6,0.05325519300097744,0.030292742493414515,0.6868159832413527,-0.212154863053585,0.1299438493785304,-0.061777791565352,3.1551107465795827,39,26,8,Watch,73,753
flow1D percentile <= 10,Large outflow risk,10D,57,0.6491228070175439,0.08931460342045816,0.037165109465658874,0.7549918110327429,-0.0750516108810112,0.15685836595637195,-0.03564135727098237,8.141889064801314,37,20,16,Watch,73,753
flow1D percentile <= 10,Large outflow risk,20D,47,0.6170212765957447,0.1300180446684115,0.07652601308474938,1.0879655111897586,-0.2611315720139695,0.2552435617964318,-0.07173417737117684,5.732633362783073,29,18,26,Watch,73,753
flow5D percentile >= 70,Strong inflow percentile,1D,220,0.5363636363636364,0.0048779904543837785,0.0020709227267707853,0.1936339683584518,-0.30513899960432866,0.036808876161503946,-0.032061661638167004,1.3281537931733263,118,102,0,Usable,220,753
flow5D percentile >= 70,Strong inflow percentile,3D,214,0.5794392523364486,0.02009063506074033,0.009282374698648121,0.3508399720646782,-0.2878681928487268,0.0705707871943696,-0.04945979676781556,1.965856487707143,124,90,6,Usable,220,753
flow5D percentile >= 70,Strong inflow percentile,5D,208,0.5528846153846154,0.037575331262956396,0.008601628224940594,0.5085764581705792,-0.23650402575884366,0.10968635721839148,-0.05159421696150636,2.628854075434708,115,93,12,Usable,220,753
flow5D percentile >= 70,Strong inflow percentile,10D,184,0.6521739130434783,0.10104159295323123,0.0390012860608312,0.8469945991983534,-0.13953490649556177,0.18042993390940568,-0.0478115463395959,7.075824815980946,120,64,36,Usable,220,753
flow5D percentile >= 70,Strong inflow percentile,20D,122,0.7459016393442623,0.24532036358695639,0.1127923722415407,1.6472859423701638,-0.3064684390515552,0.3513071739978549,-0.06580220890955189,15.672065727207878,91,31,98,Usable,220,753
flow5D percentile >= 80,Strong inflow percentile,1D,147,0.54421768707483,0.007897583334926874,0.0019825517233904577,0.1936339683584518,-0.30513899960432866,0.03889724903947671,-0.02911694287946099,1.5951014039255,80,67,0,Usable,147,753
flow5D percentile >= 80,Strong inflow percentile,3D,143,0.5734265734265734,0.025965071845005357,0.009000139472908009,0.3508399720646782,-0.18531582992508333,0.07723514959646177,-0.042955360542198354,2.41702777364758,82,61,4,Usable,147,753
flow5D percentile >= 80,Strong inflow percentile,5D,138,0.5797101449275363,0.04617880379668758,0.012562265120355742,0.5085764581705792,-0.23650402575884366,0.1162400408666909,-0.05045738526538595,3.177554484984306,80,58,9,Usable,147,753
flow5D percentile >= 80,Strong inflow percentile,10D,123,0.7073170731707317,0.11735327693290173,0.07690161363686188,0.8469945991983534,-0.12140172940904892,0.18328673475585008,-0.0419859128058901,10.549799033177107,87,36,24,Usable,147,753
flow5D percentile >= 80,Strong inflow percentile,20D,72,0.7777777777777778,0.21779726987200754,0.10986905937659552,1.5492485518484824,-0.19148936055849275,0.29568646055387726,-0.05481489751453666,18.879951598269777,56,16,75,Watch,147,753
